Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
24,6,132,440,111,474,121.5513849483135,267.5518641310503,121.57088373002908,307.514227313144,0.7967,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.728,0.0695,4.2314,4.2363,286.1445,-3.7584,-3.7608,-6.1184,-6.0958
24,7,319,405,327,435,76.31354327018973,198.64037857394453,76.1452631461667,229.68238939892626,0.7293,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.0596,0.0725,4.4157,4.4310,213.0365,1.2731,1.2730,-5.1922,-5.1770
24,11,380,190,394,187,348.486168815513,110.21796586763884,348.41938081777187,124.53513560437472,0.9753,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.7823,0.061,3.7059,3.6910,116.94,2.8751,2.8626,0.5875,0.6025
25,6,132,437,110,472,121.89079180184572,265.0,121.92608114174963,306.33968074671617,0.8025,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.0465,0.0724,4.4084,4.3703,284.1743,-3.7694,-3.7672,-6.0535,-6.0390
25,7,319,402,327,433,76.10575321660664,195.7268504830137,76.02477437856182,227.74108105478027,0.7555,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.4073,0.0756,4.6089,4.5818,210.5238,1.2725,1.2651,-5.1274,-5.1077
25,11,379,188,393,184,347.35784767211015,109.65856099730654,346.9708051920563,124.19742348374221,0.7726,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.9138,0.0622,3.7789,3.8774,116.4761,2.8497,2.8490,0.6499,0.6697
26,6,132,434,110,469,122.23678655213024,262.4576156258378,122.2252891675778,303.7976300105055,0.8334,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.1188,0.073,4.4486,4.5124,281.6186,-3.769,-3.7709,-5.978,-5.9846
26,7,318,399,327,430,76.18023829605487,192.57466084612483,75.84014123409445,224.83104767802868,0.6429,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.5939,0.0773,4.7126,4.7741,207.4565,1.2597,1.2600,-5.0512,-5.0513
26,4,378,307,386,313,41.867534801431965,142.3411395205195,41.53981677101354,152.3056138164316,0.5928,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7609,0.0338,2.0267,2.2829,147.1549,2.7572,2.7614,-2.4564,-2.4532
26,11,378,185,393,180,345.70967491818226,109.38464243210744,345.1865358811953,125.15989773086265,0.7361,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.4797,0.0673,4.0934,4.0605,116.7418,2.8353,2.8405,0.7369,0.7369
27,6,132,431,109,467,122.58953690171563,259.9249891795708,122.5873518468824,302.6450065671,0.8226,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.4448,0.0759,4.6297,4.6629,279.663,-3.7798,-3.7770,-5.913,-5.9350
